Code,Genus,Species,Name,Habitat,Type,Forest,Gmin,TLP,LSWC,MajVLA,Nitrogen,Carbon,Phosphorous,Potassium,SD
M165,Laetia,procera,Laetia_procera,BF,BF,Paracou,-0.148889897,-0.731733077,5.059445141,1.522911859,0.350656872,3.81617268,-0.145738578,2.514638055,6.662913365
M167,Eschweilera,coriacea,Eschweilera_coriacea,BF,BF,Paracou,-0.284418388,-0.493305031,4.734771993,1.768178612,0.524728529,4.005148983,-0.505207591,1.716041432,6.077406977
M178,Pterocarpus,officinalis,Pterocarpus_officinalis,BF,BF,Paracou,1.385246017,-0.33986647,5.343764329,1.452934458,1.026041596,3.951820475,0.394277449,2.641885458,NA
M182,Pterocarpus,officinalis,Pterocarpus_officinalis,BF,BF,Paracou,0.533317208,-0.483092594,5.635823711,1.874969722,1.128171091,3.951820475,0.38721814,2.924807773,5.926926026
M116,Iryanthera,hostmannii,Iryanthera_hostmannii,BF,BF,Paracou,0.014113652,-0.566744603,4.726125961,1.638718717,0.470003629,3.948933359,-0.483366483,2.099458865,4.902421709
M148,Laetia,procera,Laetia_procera,BF,BF,Paracou,0.712941925,-0.512176711,5.28195625,0.995851053,0.39877612,3.888344878,-0.743836307,1.577088333,6.463069458
M149,Pterocarpus,officinalis,Pterocarpus_officinalis,BF,BF,Paracou,0.185300707,-0.483092594,4.996073788,1.374787629,0.819779831,3.844172339,-0.019584062,2.36864503,5.943875584
M201,Eperua,falcata,Eperua_falcata,BF,BF,Paracou,-0.116392855,-0.696082867,4.809872743,2.302267226,0.636576829,3.957951937,-0.154715646,2.104681335,6.201704694
M202,Eperua,falcata,Eperua_falcata,BF,BF,Paracou,-0.107441372,-0.559638645,5.054539893,2.326595966,0.662687973,3.952972992,-0.224537081,1.602323648,6.008939178
M203,Eschweilera,coriacea,Eschweilera_coriacea,BF,BF,Paracou,0.235093646,-0.557258727,5.148415564,1.287506296,0.604315967,3.944102899,-0.282084486,1.172242401,5.883250962
M204,Laetia,procera,Laetia_procera,BF,BF,Paracou,1.214153262,-0.615120772,4.971437674,1.8797132,0.576613364,3.919792743,-0.331467903,1.828952968,6.49262826
M205,Iryanthera,hostmannii,Iryanthera_hostmannii,BF,BF,Paracou,-0.181895168,-0.499635244,4.939240254,1.550893056,0.385262401,3.968025196,-0.457776289,2.037392052,5.354406833
M206,Carapa,surinamensis,Carapa_surinamensis,BF,BF,Paracou,0.257993152,-0.610613039,5.001384638,0.962136547,0.548121409,3.881769962,-0.204573836,1.647925367,NA
M207,Symphonia,globulifera,Symphonia_globulifera,BF,BF,Paracou,0.333773267,-0.541649645,5.48450685,1.555821425,0.425267735,3.907412393,-0.379208845,2.741039183,5.44141821
M197,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,BF,BF,Paracou,2.082675237,-0.833448108,4.738746953,1.682743688,0.457424847,3.922567219,-0.281584611,1.945708751,5.619099387
M208,Carapa,surinamensis,Carapa_surinamensis,BF,BF,Paracou,0.296040796,-0.548884123,5.005289698,0.678443927,0.576613364,3.873490056,-0.382564004,1.563027463,NA
M213,Eperua,falcata,Eperua_falcata,BF,BF,Paracou,1.068609196,-0.641748617,4.96791358,2.287688214,0.722705983,3.950859029,-0.145738578,1.693180624,6.148358713
M221,Pterocarpus,officinalis,Pterocarpus_officinalis,BF,BF,Paracou,0.782521309,-0.63073972,4.988260842,1.386636048,0.936093359,3.95756982,0.09553686,2.111424605,5.697351584
M222,Eschweilera,coriacea,Eschweilera_coriacea,BF,BF,Paracou,0.336348588,-0.678297467,4.77730335,1.442693936,0.708035793,3.959669659,-0.225646682,1.746701108,5.993065828
M223,Symphonia,globulifera,Symphonia_globulifera,BF,BF,Paracou,0.359733539,-0.525793051,5.300081809,1.773338226,0.392042088,3.883623531,-0.387660483,2.599257332,5.259096653
M225,Eperua,falcata,Eperua_falcata,BF,BF,Paracou,0.729239497,-0.583131402,4.714094544,1.863757319,0.727548607,3.958142941,-0.200114181,1.820184317,5.759871941
M226,Pterocarpus,officinalis,Pterocarpus_officinalis,BF,BF,Paracou,0.436365267,-0.569102079,5.164484214,1.837136132,1.16315081,3.951243719,0.022728251,2.286529873,5.73946307
M227,Pterocarpus,officinalis,Pterocarpus_officinalis,BF,BF,Paracou,0.351891323,-0.447834704,5.069576932,1.476439752,1.026041596,3.936325298,0.153294882,2.426395626,5.44141821
