Code,idTree,Plot,Subplot,FieldNr,Genus,Species,Name,Family,PrefHabitat,Habitat,Spcode,Fresh_Weight(g),Saturated_Weight(g),Dry_Weight(g),LSWC,Posmo,Ptlp,mean_Pmidday,FvFm,LA,gmin,Height_Tree,Dawkin_Tree,Height_Branch,Dawkin_Branch,Position_Crown
104,143133,14,2,929,Casearia,javitensis,Casearia javitensis,Salicaceae,TF,TF,Cas.jav,0.6202,,,,,,,0.82,67.19907931,6.719769506,16,2,13,3,Inf
105,142646,14,4,180,Casearia,javitensis,Casearia javitensis,Salicaceae,TF,TF,Cas.jav,1.376,1.347,0.708,0.902,-1.29,-1.696,,0.804,40.785,3.802,12,3,10,3,Mid
106,,14,4,13,Dicorynia,guianensis,Dicorynia guianensis,Fabaceae,TF,TF,Dic.gui,1.021,0.913,0.351,1.601,-0.995,-1.46,,0.806,109.491,8.777,8,2,8,3,Sup
107,142693,14,2,487,Poraqueiba,guianensis,Poraqueiba guianensis,Metteniusaceae,TF,TF,Por.gui,2.263,2.257,0.983,1.296,-1.47,-1.84,,0.825,63.034,3.338,24,4,24,4,Sup
108,144866,14,4,624,Vouacapoua,americana,Vouacapoua americana,Fabaceae,TF,TF,Vou.ame,0.583,0.575,0.324,0.774,-1.798,-2.101,,0.831,45.936,9.37,23,3,21,4,Mid
109,145008,14,4,766,Vouacapoua,americana,Vouacapoua americana,Fabaceae,TF,TF,Vou.ame,0.595,0.586,0.32,0.83,-1.823,-2.121,,0.795,31.629,2.415,23,3,21,3,Sup
110,174162,14,4,2572,Protium,stevensonii,Protium stevensonii,Burseraceae,Generalist,TF,Pro.ste,1.535,1.557,0.754,1.064,-1.878,-2.165,,0.801,61.943,8.033,16,2,13,3,Mid
111,144753,14,4,511,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,TF,Esc.cor,1.76,1.699,0.752,1.259,-1.08,-1.528,,0.784,61.335,2.519,20,5,17,5,Sup
112,144939,14,4,697,Vouacapoua,americana,Vouacapoua americana,Fabaceae,TF,TF,Vou.ame,0.422,0.419,0.214,0.96,-1.603,-1.945,,0.823,32.821,1.775,15,2,12,3,Mid
113,144945,14,4,703,Gustavia,hexapetala,Gustavia hexapetala,Lecythidaceae,TF,TF,Gus.hex,1.703,1.699,0.494,2.437,-1.388,-1.774,,0.788,51.709,3.853,13,2,11,3,Mid
114,144726,14,4,484,Licania,membranacea,Licania membranacea,Chrysobalanaceae,TF,TF,Lic.mem,0.766,0.771,0.363,1.123,-1.853,-2.145,,0.837,30.821,5.889,27,4,25,3,Sup
115,205904,14,4,3013,Tachigali,melinonii,Tachigali melinonii,Fabaceae,Generalist,TF,Tac.mel,0.352,0.312,0.141,1.216,-1.385,-1.772,,0.693,19.521,1.9,25,3,23,3,Mid
116,138317,13,2,282,Iryanthera,hostmannii,Iryanthera hostmannii,Myristicaceae,BF,BF,Iry.hos,2.243,2.255,1.059,1.129,-1.36,-1.752,,0.739,49.839,0.92,13,2,12,3,Sup
117,142689,14,2,483,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,TF,Esc.cor,2.95,3.022,1.298,1.328,-0.968,-1.438,,0.755,69.148,3.588,16,3,11,3,Inf
118,142325,14,2,114,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,TF,Esc.cor,2.259,2.271,0.986,1.302,-1.155,-1.588,,0.837,172.991,1.871,16,3,12,3,Inf
119,142517,14,2,310,Carapa,surinamensis,Carapa surinamensis,Meliaceae,BF,BF,Car.sur,6.429,6.57,2.431,1.703,-1.293,-1.698,,0.818,265.795,2.85,15,4,15,4,Sup
