Code,DateField,Plot,Subplot,idTree,FieldNbr,Species_Name,Forest,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,CommentField,CommentLab,Site,Genus,Species,Habitat,FW,SW,DW,Comment_Lab,LSWC,FvFm,LA,gmin,Ptlp
384,2021-03-10T00:00:00Z,5,16,25140,1,Tac.mel,Bafog,38,5,16,3,inf,,,Bafog,Tachigali,melinonii,BF,0.348100000000001,0.3453,0.1506,,1.29282868525896,829,19.96486682,3.342246696,-1.5938375
385,2021-03-10T00:00:00Z,5,15,25118,23,Lae.pro,Bafog,25,4,21,4,middle,,,Bafog,Laetia,procera,BF,1.738,1.78,0.6901,,1.5793363280684,795,50.02755871,3.451607037,-1.84752
386,2021-03-10T00:00:00Z,5,6,24822,23,Tac.mel,Bafog,35,4,25,5,inf,,,Bafog,Tachigali,melinonii,BF,0.299200000000001,0.2959,0.1379,,1.14575779550399,809,13.26012217,6.714687965,-1.71968
387,2021-03-10T00:00:00Z,5,4,24775,48,Gus.hex,Bafog,13,2,11,2,middle,,,Bafog,Gustavia,hexapetala,TF,1.3441,1.346,0.434,,2.10138248847926,803,52.13104997,4.620925549,-1.683725
388,2021-03-10T00:00:00Z,5,4,373422,71,Gus.hex,Bafog,12,2,11,2,middle,,,Bafog,Gustavia,hexapetala,TF,1.3385,1.335,0.3484,,2.83180252583238,822,99.90859051,1.16711322,-1.83953
389,2021-03-10T00:00:00Z,5,5,24790,12,Pte.off,Bafog,30,5,28,4,middle,,,Bafog,Pterocarpus,officinalis,BF,1.11,1.1645,0.4325,,1.69248554913295,814,36.28706452,8.868189055,-1.4340375
390,2021-03-10T00:00:00Z,5,7,24845,30,Con.gui,Bafog,13,2,13,2,sup,,,Bafog,Conceveiba,guianensis,BF,4.5771,4.5989,1.9846,,1.3172931573113,823,170.9277831,5.66650566,
390,2021-03-10T00:00:00Z,5,7,24845,30,Con.gui,Bafog,13,2,13,2,sup,,,Bafog,Conceveiba,guianensis,BF,4.5771,4.5989,1.9846,,1.3172931573113,823,170.9277831,5.66650566,
390,2021-03-10T00:00:00Z,5,7,24845,30,Con.gui,Bafog,13,2,13,2,sup,,,Bafog,Conceveiba,guianensis,BF,4.5771,4.5989,1.9846,,1.3172931573113,823,170.9277831,5.66650566,-1.627795
391,2021-03-10T00:00:00Z,5,7,24842,21,Sym.glo,Bafog,30,5,25,2,inf,,,Bafog,Symphonia,globulifera,BF,1.1218,1.1302,0.366,,2.0879781420765,829,22.14053536,4.661672255,-1.651765
392,2021-03-10T00:00:00Z,5,17,25187,28,Pte.off,Bafog,26,4,25,2,inf,,,Bafog,Pterocarpus,officinalis,BF,0.5969,0.6479,0.2239,,1.89370254577937,816,51.62764876,10.33767748,-1.4220525
393,2021-03-10T00:00:00Z,5,19,25264,34,Vir.mic,Bafog,21,3,20,3,middle,,,Bafog,Virola,michelii,BF,3.592,3.8345,1.3439,,1.8532628915842,789,70.42873263,2.253107102,-1.464
394,2021-03-10T00:00:00Z,5,26,25514,29,Lae.pro,Bafog,28,5,28,4,sup,,,Bafog,Laetia,procera,BF,1.681,1.7948,0.7042,,1.54870775347913,804,68.07351305,6.275893323,
394,2021-03-10T00:00:00Z,5,26,25514,29,Lae.pro,Bafog,28,5,28,4,sup,,,Bafog,Laetia,procera,BF,1.681,1.7948,0.7042,,1.54870775347913,804,68.07351305,6.275893323,-1.8734875
395,2021-03-10T00:00:00Z,5,26,25526,53,Chr.pri,Bafog,13,4,11,4,middle,,,Bafog,Chrysophyllum,prieurii,BF,1.7315,1.873,0.7649,,1.44868610275853,796,102.1116683,11.34268931,-2.0332875
396,2021-03-10T00:00:00Z,5,26,25510,20,Jac.cop,Bafog,24,4,21,3,inf,,,Bafog,Jacaranda,copaia,BF,0.725299999999999,0.7419,0.2681,,1.76725102573667,757,11.68685415,13.11773195,-1.3821025
397,2021-03-10T00:00:00Z,5,9,24905,33,Vir.mic,Bafog,27,3,23,3,sup,,,Bafog,Virola,michelii,BF,0.794700000000001,0.8475,0.3096,,1.73740310077519,768,55.31546397,7.240061659,-1.5538875
