Code,idTree,Genus,Species,Name,Forest,Habitat,Type,HabitatType,Gmin,FvFm,TLP,LA,SLA,LSWC,FW,SW,DW,Midrib VLA,2VLA,3VLA,MajVLA,MidribWidth,SecundaryWidth,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,LT,CC,LDMC,Xutm,Yutm,Latitude,Longitude,DBH,TWI
55,101083,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Paracou,TF,Generalist,TFGeneralist,9.24892295,0.822,,19.99065833,132.5640473,1.947612732,0.441,0.4445,0.1508,0.383944,1.584209,4.924833,6.892986,0.031588333,0.01231,30,5,28,3,Mid,,,,"286,491.47","583,076.25",,,,
56,100766,Chrysophyllum,prieurii,Chrysophyllum_prieurii,Paracou,TF,Generalist,TFGeneralist,2.01964224,0.804,-2.043275,147.7016792,129.6311034,1.116903633,2.3674,2.412,1.1394,0.138709,0.684166,4.367298,5.190173,0.173365833,0.0201725,24,3,17,3,Mid,,,,"286,432.75","583,081.44",,,,
57,100765,Conceveiba,guianensis,Conceveiba_guianensis,Paracou,TF,Generalist,TFGeneralist,2.10142445,0.82,-1.691715,99.48084028,145.3760635,1.188659944,1.486,1.4977,0.6843,0.158223,0.601873,2.545328,3.305424,0.060885,0.0261775,15,2,14,3,Sup,,,,"286,435.53","583,078.50",,,,
58,,,,,Paracou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,Paracou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,205758,Conceveiba,guianensis,Conceveiba_guianensis,Paracou,BF,Generalist,BFGeneralist,1.36412327,0.778,-1.915435,131.8246472,191.9403716,1.337944089,1.5734,1.6057,0.6868,0.138634,0.514938,1.670397,2.323969,0.120440833,0.04235417,21,2,18,3,Mid,,,,"286,584.59","583,109.63",,,,
61,102799,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Paracou,TF,Generalist,TFGeneralist,2.34467912,0.777,-1.4020775,31.02131528,203.5519375,2.650262467,0.5321,0.5563,0.1524,0.324545,1.415417,3.838002,5.577965,0.021674167,0.00661083,16,3,16,3,Sup,,,,"286,618.88","583,160.56",,,,
62,102878,Chrysophyllum,prieurii,Chrysophyllum_prieurii,Paracou,TF,Generalist,TFGeneralist,3.4079878,0.834,-2.35888,88.808325,93.61054601,1.006535259,1.8304,1.9036,0.9487,0.186188,1.036178,5.64052,6.862886,0.145038333,0.03533833,32,4,30,4,Sup,,,,"286,435.34","583,031.25",,,,
63,103035,Bocoa,prouacensis,Bocoa_prouacensis,Paracou,TF,Generalist,TFGeneralist,2.7013391,0.823,-1.691715,81.64494028,143.2116125,1.140677074,1.2509,1.2204,0.5701,0.206363,0.812843,1.059612,2.078818,0.071435,0.01999417,16,3,14,3,Mid,,,,"286,449.19","583,050.75",,,,
64,205745,Symphonia,globulifera,Symphonia_globulifera,Paracou,BF,BF,BFBF,2.47727214,0.811,-1.4939625,88.61945556,161.5669199,2.275478578,1.7781,1.7966,0.5485,0.216572,2.019381,0.688403,2.924356,0.0950075,0.02525083,12,4,10,3,Mid,,,,"286,516.88","583,184.13",,,,
