Code,idTree,Genus,Species,Name,Forest,Habitat,Type,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,DBH,Xutm,Yutm,TWI
621,,Pterocarpus,officinalis,Pterocarpus_officinalis,Kaw,BF,BF,10,2,8,3,Mid,15.3,353561.49,524242.32,11.116259
622,,Pterocarpus,officinalis,Pterocarpus_officinalis,Kaw,BF,BF,12,3,10,3,Sup,12.4,353564.6,524244.18,11.116259
623,,Pterocarpus,officinalis,Pterocarpus_officinalis,Kaw,BF,BF,10,4,8,3,Mid,17,353558.71,524239.77,11.116259
624,,Pterocarpus,officinalis,Pterocarpus_officinalis,Kaw,BF,BF,12,3,12,3,Sup,13.1,353591.02,524253.09,11.116259
625,,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Kaw,BF,Generalist,16,5,16,5,Sup,31.5,348611.92,518241.8,8.638255
626,,Laetia,procera,Laetia_procera,Kaw,BF,BF,18,4,18,4,Sup,53,349086.24,517761.78,9.967717
627,,Laetia,procera,Laetia_procera,Kaw,BF,BF,19,4,19,4,Sup,27,349054.06,517758.54,9.967717
628,,Laetia,procera,Laetia_procera,Kaw,BF,BF,18,4,18,3,Sup,20.2,369316.1,504974.9,6.350865
629,,Eperua,falcata,Eperua_falcata,Kaw,BF,BF,15,4,15,4,Sup,18.9,349061.94,517758.74,9.967717
630,,Eperua,falcata,Eperua_falcata,Kaw,BF,BF,22,5,20,4,Sup,64.7,349024.99,517758.59,7.249273
631,,Eperua,falcata,Eperua_falcata,Kaw,BF,BF,16,3,14,4,Mid,33,349083.57,517757.15,9.967717
632,,Eperua,falcata,Eperua_falcata,Kaw,BF,BF,14,4,14,4,Sup,13.7,349028.66,517759.58,7.249273
633,,Laetia,procera,Laetia_procera,Kaw,BF,BF,22,5,22,5,Sup,45,357991.63,509260.59,6.816395
634,,Eperua,falcata,Eperua_falcata,Kaw,BF,BF,16,4,15,3,Mid,28,348991.49,517756,7.249273
635,,Eperua,falcata,Eperua_falcata,Kaw,BF,BF,24,5,20,4,Sup,53,349001.36,517756.98,7.249273
636,,Eperua,falcata,Eperua_falcata,Kaw,BF,BF,18,4,18,4,Sup,25.5,349350.07,517371.41,9.064654
637,,Eperua,falcata,Eperua_falcata,Kaw,BF,BF,12,3,11,2,Mid,18,348996.05,517757.98,7.249273
638,,Eperua,falcata,Eperua_falcata,Kaw,BF,BF,18,4,11,3,Inf,40,348996.16,517761.19,7.249273
639,,Eperua,falcata,Eperua_falcata,Kaw,BF,BF,23,2,20,3,Inf,47,348975.51,517756.7,7.249273
640,,Tachigali,melinonii,Tachigali_melinonii,Kaw,BF,Generalist,28,5,26,4,Mid,63.5,348537.04,517902.28,16.003884
641,,Tachigali,melinonii,Tachigali_melinonii,Kaw,BF,Generalist,13,4,12,4,Sup,15.5,348513.72,518001.95,9.564647
642,,Tachigali,melinonii,Tachigali_melinonii,Kaw,BF,Generalist,40,5,36,4,Mid,55,348500.67,518027.74,9.564647
643,,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Kaw,BF,Generalist,33,5,31,3,Mid,48,348458.31,518033.79,14.969712
