Calibration_Date,Contamination_Level,Date_Field,idTree,Plot,Subplot,Field_Nr,Species_Name,Code,idLeaf,Leaf_Health_Status,Leaf_Pheno_Status,Density_Section_Veins,Date_measure,User_initial,idVapro,Nr_Cycle,Nr_Run,C0,Comment,Posmo,Ptlp
08/03/2021,15,09/03/2021,1787,2,57,4,Chr.pri,383,1,healthy,mature,ok,10/03/2021,MB,2,2,10,696,NA,-1.74,-2.05526
09/03/2021,15,10/03/2021,25140,5,16,1,Tac.mel,384,1,healthy,mature,Ok,11/03/2021,PM,2,1,3,465,NA,-1.1625,-1.5938375000000002
09/03/2021,15,10/03/2021,25118,5,15,23,Lae.pro,385,1,healthy,mature,Ok,11/03/2021,PM,2,1,8,592,NA,-1.48,-1.84752
09/03/2021,15,10/03/2021,24822,5,6,23,Tac.mel,386,1,healthy,mature,Ok,11/03/2021,PM,2,1,4,528,NA,-1.32,-1.71968
09/03/2021,15,10/03/2021,24775,5,4,48,Gus.hex,387,1,healthy,mature,Ok,11/03/2021,PM,2,1,6,510,NA,-1.2750000000000001,-1.6837250000000001
09/03/2021,15,10/03/2021,373422,5,4,71,Gus.hex,388,1,healthy,mature,Ok,11/03/2021,PM,2,1,3,588,NA,-1.47,-1.83953
09/03/2021,15,10/03/2021,24790,5,5,12,Pte.off,389,1,epiphytes,mature,Ok,11/03/2021,PM,2,1,5,385,fungi,-0.9625,-1.4340375
09/03/2021,15,10/03/2021,24845,5,7,30,Con.gui,390,1,healthy,mature,Ok,11/03/2021,PM,2,3,4,482,NA,-1.205,-1.627795
09/03/2021,15,10/03/2021,24842,5,7,21,Sym.glo,391,1,healthy,mature,Ok,11/03/2021,PM,2,1,8,494,NA,-1.235,-1.6517650000000001
09/03/2021,15,10/03/2021,25187,5,17,28,Pte.off,392,1,healthy,mature,Ok,11/03/2021,PM,2,1,4,379,NA,-0.9475,-1.4220525
09/03/2021,15,10/03/2021,25264,5,19,34,Vir.mic,393,1,herbivory,mature,Ok,11/03/2021,PM,2,1,3,400,NA,-1,-1.464
09/03/2021,15,10/03/2021,25514,5,26,29,Lae.pro,394,2,healthy,mature,Ok,11/03/2021,PM,2,2,9,605,NA,-1.5125,-1.8734875
09/03/2021,15,10/03/2021,25526,5,26,53,Chr.pri,395,1,healthy,mature,Ok,11/03/2021,PM,2,1,7,685,NA,-1.7125000000000001,-2.0332875
