Code,spName,midribVLA,SecondaryVLA,TertiaryVLA,MajVLA
28,Epe.fal,0.391677984,1.8645620539999999,5.6245308835,7.8807709215
85,Epe.fal,0.229096548,1.6281240345,3.6839709765,5.541191559
125,Epe.fal,0.33011547750000003,2.050657586,5.556037135,7.9368101985
132,Epe.fal,0.27843192250000004,1.838854648,5.863625227,7.980911798
147,Epe.fal,0.3158080165,2.291886562,4.8967607,7.5044552785
201,Epe.fal,0.46723890300000004,3.3868108665,6.142772068,9.9968218365
202,Epe.fal,0.34500349750000003,2.9392842310000002,6.958726824999999,10.24301455
213,Epe.fal,0.4207275455,3.1336397015,6.297768052,9.8521353015
225,Epe.fal,0.268101026,2.259363074,3.9204540979999996,6.447918198
240,Epe.fal,0.1814837485,0.8596851405,2.618084881,3.6592537695
31,Esc.cor,0.192899626,1.085873901,2.7972064254999998,4.075979952
67,Esc.cor,0.26566626699999996,1.4369588085,4.5895163475,6.2921414235
76,Esc.cor,0.16028205950000002,0.9799020620000001,3.1433361455,4.283520267
80,Esc.cor,0.24270982749999997,1.278446204,3.1854076454999998,4.706563677
81,Esc.cor,0.304938256,1.6985750765,4.226253502,6.2297668344999995
83,Esc.cor,0.3041451895,1.3794697244999998,5.801830542499999,7.485445457
89,Esc.cor,0.24826928599999998,1.2231281985,6.3168283215,7.788225806
100,Esc.cor,0.20195873749999999,1.0200419185,3.7861027865,5.0081034424999995
103,Esc.cor,0.16054691999999998,0.905751987,4.012971504,5.079270411
111,Esc.cor,0.220102185,0.995681331,5.3955428995000005,6.611326415
117,Esc.cor,0.221642189,1.0637910119999998,4.9811311485,6.266564349499999
118,Esc.cor,0.11954487,0.7314954545000001,3.6949934190000002,4.546033743000001
122,Esc.cor,0.1426103695,0.9556155035,2.8850597000000002,3.983285573
124,Esc.cor,0.223612391,1.3421661105,4.340639026,5.906417527
127,Esc.cor,0.135477486,0.725958545,3.4313226334999998,4.292758665
159,Esc.cor,0.239431497,1.1934061685000001,5.355810193,6.788647858
167,Esc.cor,0.18174156000000002,0.9811718229999999,4.697256609,5.8601699915
203,Esc.cor,0.19995165850000002,0.95212525,2.4716618405000004,3.623738749
216,Esc.cor,0.2079834585,1.2155209230000001,6.444081892,7.8675862735
222,Esc.cor,0.1779603565,0.9380244315,3.116096643,4.232081431
2,Gus.hex,0.29420474799999996,1.1287494745,3.261022014,4.6839762364999995
33,Gus.hex,0.2888013315,1.2230834035,3.616187558,5.128072293500001
50,Gus.hex,0.2709289295,1.149195266,4.074534453,5.4946586485
113,Gus.hex,0.3094478035,1.1482268415,4.1750679035000005,5.6327425485
9,Hym.het,0.2951786165,1.1650841564999999,3.146078157,4.60634093
11,Hym.het,0.4709202535,2.2044516955,5.382497452,8.057869401000001
16,Hym.het,0.261319896,1.2167137845,4.355341033,5.8333747135
19,Hym.het,0.379723696,2.1859626785,7.0103845545,9.576070931
24,Hym.het,0.173446275,0.850442243,4.5073372339999995,5.531225752
26,Hym.het,0.467680921,2.2019985595,6.235570343,8.905249824
52,Hym.het,0.259843533,1.4488507555,5.02469639,6.733390678
102,Hym.het,0.23556873,1.2330777849999999,4.3542901965,5.8229367115
171,Hym.het,0.2923735945,1.433752645,4.4916424415,6.217768681
173,Hym.het,0.34407390000000004,1.861802839,6.526337001,8.73221374
179,Hym.het,0.40244144800000003,1.4960303069999998,6.2866380135,8.1851097685
181,Hym.het,0.300311771,1.3571390115000002,4.918284838,6.575735621
185,Hym.het,0.2500502115,1.359266037,4.036594098,5.6459103465
196,Hym.het,0.3190499175,1.3725053885,5.256258079,6.9478133855
198,Hym.het,0.24251052350000002,1.378538871,4.5195325085,6.140581902499999
200,Hym.het,0.3172430405,1.7963244395,5.1182507699999995,7.23181825
212,Hym.het,0.4579482775,2.2551903615000004,7.467922605,10.181061245999999
214,Hym.het,0.32704802899999996,1.929027346,5.3613860255,7.6174614
215,Hym.het,0.27439585899999996,1.2308809360000001,4.947780423,6.453057218
224,Hym.het,0.3219537815,1.606783961,5.054583344,6.9833210865
238,Hym.het,0.248619903,1.3471581545,4.9055754105,6.5013534685
239,Hym.het,0.290151773,1.5134763365000001,5.034125068,6.837753178
1,Iry.hos,0.311733524,1.7320258115,3.895902389,5.9396617245
3,Iry.hos,0.302325974,1.4398700034999998,4.6395366135,6.3817325905
8,Iry.hos,0.4040343795,1.8340802429999998,3.445755423,5.683870044500001
21,Iry.hos,0.3272778325,1.6463880875,4.575133778,6.5487996975
116,Iry.hos,0.269953978,1.241736823,3.6368777094999998,5.148568511500001
120,Iry.hos,0.22132815449999999,1.0852256224999999,2.560894257,3.867448034
123,Iry.hos,0.32169896,1.5210368355,3.4328532285,5.275589024
158,Iry.hos,0.19506464950000002,1.083970101,3.3739210594999998,4.6529558095
205,Iry.hos,0.2475489015,1.349490528,3.1186402415,4.715679671
96,Iry.sag,0.34760063900000004,1.8727380325,5.9977193205,8.218057992
98,Iry.sag,0.31244607999999996,1.7376812094999998,6.774644008,8.8247712975
