Date,Code,spName,idSample,Rec,FVFM,...7
2020-10-26T00:00:00Z,1,Iry.hos,P15-C1-182-Iry.hos-1,3106,0.786,NA
2020-10-26T00:00:00Z,2,Gus.hex,P15-C3-178-Gus.hex-2,3107,0.797,NA
2020-10-26T00:00:00Z,3,Iry.hos,P15-C3-298-Iry.hos-3,3108,0.807,NA
2020-10-26T00:00:00Z,4,Tac.mel,P15-C3-140-Tac.mel-4,3109,0.84,NA
2020-10-26T00:00:00Z,5,Chr.pri,P15-C3-1103-Chr.pri-5,3110,0.773,NA
2020-10-26T00:00:00Z,6,Con.gui,P15-C4-369-Con.gui-6,3111,0.8,NA
2020-10-26T00:00:00Z,7,Lic.mem,P15-C1-824-Lic.mem-7,3112,0.82,NA
2020-10-27T00:00:00Z,8,Iry.hos,P15-C4-960-Iry.hos-8,3130,0.76,NA
2020-10-26T00:00:00Z,9,Hym.het,P15-C2-84-Hym.het-9,3113,0.784,NA
2020-10-26T00:00:00Z,10,Con.gui,P15-C2-209-Con.gui-10,3115,0.812,NA
2020-10-26T00:00:00Z,11,Hym.het,P15-C2-147-Hym.het-11,3116,0.79,NA
2020-10-26T00:00:00Z,12,Jac.cop,P15-C3-590-Jac.cop-12,3117,0.794,NA
2020-10-26T00:00:00Z,13,Dic.gui,P15-C2-174-Dic.gui-13,3118,0.814,NA
2020-10-26T00:00:00Z,14,Dic.gui,P15-C2-218-Dic.gui-14,3119,0.818,NA
2020-10-26T00:00:00Z,15,Cas.jav,P15-C3-135-Cas.jav-15,3120,0.797,NA
2020-10-26T00:00:00Z,16,Hym.het,P15-C3-798-Hym.het-16,3121,0.747,NA
2020-10-26T00:00:00Z,17,Boc.pro,P15-C3-89-Boc.pro-17,3122,0.789,NA
2020-10-26T00:00:00Z,18,Chr.pri,P15-C3-799-Chr.pri-18,3123,0.785,NA
2020-10-26T00:00:00Z,19,Hym.het,P15-C3-171-Hym.het-19,3125,0.744,NA
2020-10-26T00:00:00Z,20,Boc.pro,P15-C3-593-Boc.pro-20,3124,0.788,NA
2020-10-27T00:00:00Z,21,Iry.hos,P15-C4-860-Iry.hos-21,3132,0.812,NA
